Table:  (Million Metric Tons),,,,,,
,,,,,,
,,2008,2009,2010,2011,2012
,,,,,,
#North America,,6869.06976,6397.25739,6563.76913,6482.32656,6298.30616
Bermuda,,0.75025,0.71151,0.71202,0.5922,0.61419
Canada,,574.2432,544.88997,547.92522,551.58734,550.82886
Greenland,,0.6417,0.64787,1.00099,0.6156,0.60494
Mexico,,452.79369,421.12377,434.02347,446.22753,453.83269
Saint Pierre and Miquelon,,0.09159,0.08899,0.09226,0.09166,0.15105
United States,,5840.54934,5429.79527,5580.01518,5483.21223,5270.42188
#Central & South America,,1220.35657,1197.99867,1310.8445,1335.23747,1399.61807
Antarctica,,0.26439,0.24476,0.24481,0.14209,0.09946
Antigua and Barbuda,,0.65897,0.66632,0.72231,0.58643,0.58643
Argentina,,170.4317,169.4609,188.42465,194.61001,195.99869
Aruba,,1.07222,1.03984,1.05483,0.89644,0.87641
"Bahamas, The",,5.07692,3.60306,3.60685,3.64329,3.83606
Barbados,,1.49191,1.51017,1.4119,1.44285,1.31158
Belize,,1.03903,0.46869,0.46976,0.47263,0.67518
Bolivia,,14.00281,13.00468,13.56189,14.45368,17.28493
Brazil,,427.39904,406.96236,461.35654,476.60014,500.22847
Cayman Islands,,0.48557,0.55311,0.55701,0.53744,0.47297
Chile,,65.4443,72.50944,77.6549,78.49444,81.50608
Colombia,,63.13901,63.47436,66.45918,70.58393,74.89564
Costa Rica,,7.13499,6.92866,7.04218,6.67046,7.29026
Cuba,,29.08832,29.25529,28.04129,27.87703,25.9869
Dominica,,0.12709,0.12966,0.12999,0.14095,0.13206
Dominican Republic,,19.32287,18.12788,18.6403,20.70312,20.79598
Ecuador,,27.1163,30.4128,35.03907,34.73195,37.23169
El Salvador,,5.93183,5.93246,5.93334,6.34964,6.37496
Falkland Islands (Islas Malvinas),,0.04578,0.04764,0.04766,0.04557,0.04557
French Guiana,,1.05598,0.82375,0.98756,1.07359,1.0401
Grenada,,0.28688,0.27073,0.27035,0.27243,0.43129
Guadeloupe,,2.35198,2.12595,2.12921,2.18799,2.32746
Guatemala,,10.92361,11.73055,10.76745,12.52109,13.0691
Guyana,,1.52034,1.64218,1.63656,1.67985,1.66138
Haiti,,2.00563,2.24946,2.12937,2.08969,2.09431
Honduras,,7.91242,7.21091,7.53264,8.03133,10.3308
Jamaica,,12.55466,9.28644,8.10729,9.61757,12.75118
Martinique,,2.45345,2.67338,2.67523,2.79553,2.84116
Montserrat,,0.09267,0.08324,0.08346,0.08801,0.08801
Netherlands Antilles,,10.59241,12.20526,12.42646,12.15432,11.8431
Nicaragua,,4.50239,4.49305,4.46766,4.82218,5.28522
Panama,,14.98225,15.87199,18.91654,17.18339,16.22762
Paraguay,,3.82742,4.0942,4.45272,3.99472,3.86876
Peru,,36.28661,37.04558,44.46547,42.21615,53.58213
Puerto Rico,,34.37078,28.99281,27.69574,26.75769,26.81328
