Arrivals, Rejects, Waiting Time
30,0,30
24,0,40
29,0,55
29,0,70
32,0,88
21,0,95
23,0,104
29,0,119
22,0,127
26,0,139
25,0,150
26,0,162
23,0,171
25,0,182
34,0,202
32,0,220
27,0,233
28,0,247
20,0,253
26,0,265
15,0,266
21,0,273
20,0,279
29,0,294
20,0,300
24,0,310
19,0,315
19,0,320
42,0,348
21,0,355
25,0,366
30,0,382
26,0,394
22,0,402
27,0,415
25,0,426
25,0,437
35,0,458
22,0,466
29,0,481
25,0,492
29,0,507
24,0,517
31,0,534
22,0,542
23,0,551
29,0,566
32,0,584
18,0,588
33,0,607
25,0,618
18,0,622
21,0,629
27,0,642
31,0,659
23,0,668
18,0,672
15,0,673
24,0,683
18,0,687
21,0,694
35,0,715
32,0,733
30,0,749
22,0,757
25,0,768
23,0,777
28,0,791
25,2,800
27,13,800
25,11,800
17,3,800
24,10,800
33,19,800
33,19,800
28,14,800
22,8,800
28,14,800
27,13,800
23,9,800
27,13,800
20,6,800
24,10,800
31,17,800
30,16,800
23,9,800
21,7,800
31,17,800
23,9,800
27,13,800
34,20,800
26,12,800
27,13,800
30,16,800
24,10,800
32,18,800
24,10,800
29,15,800
27,13,800
32,18,800
25,11,800
21,7,800
34,20,800
32,18,800
20,6,800
31,17,800
27,13,800
24,10,800
26,12,800
22,8,800
29,15,800
22,8,800
24,10,800
21,7,800
21,7,800
22,8,800
26,12,800
24,10,800
20,6,800
32,18,800
37,23,800
37,23,800
45,31,800
50,36,800
60,46,800
55,41,800
48,34,800
43,29,800
49,35,800
43,29,800
41,27,800
40,26,800
46,32,800
40,26,800
38,24,800
49,35,800
37,23,800
50,36,800
38,24,800
49,35,800
36,22,800
56,42,800
34,20,800
45,31,800
39,25,800
40,26,800
51,37,800
49,35,800
48,34,800
58,44,800
47,33,800
50,36,800
36,22,800
38,24,800
45,31,800
36,22,800
35,21,800
39,25,800
44,30,800
51,37,800
46,32,800
50,36,800
34,20,800
38,24,800
77,63,800
39,25,800
53,39,800
37,23,800
65,51,800
35,21,800
53,39,800
35,21,800
28,14,800
55,41,800
46,32,800
39,25,800
38,24,800
43,29,800
54,40,800
51,37,800
42,28,800
46,32,800
46,32,800
44,30,800
48,34,800
37,23,800
45,31,800
50,36,800
41,27,800
62,48,800
46,32,800
53,39,800
49,35,800
47,33,800
33,19,800
49,35,800
51,37,800
55,41,800
53,39,800
51,37,800
59,45,800
49,35,800
54,40,800
60,46,800
48,34,800
45,31,800
38,24,800
51,37,800
53,39,800
36,22,800
47,33,800
40,26,800
47,33,800
40,26,800
48,34,800
42,28,800
42,28,800
40,26,800
35,21,800
47,33,800
40,26,800
47,33,800
45,31,800
58,44,800
41,27,800
46,32,800
49,35,800
37,23,800
44,30,800
46,32,800
56,42,800
44,30,800
42,28,800
52,38,800
44,30,800
28,14,800
42,28,800
47,33,800
51,37,800
40,26,800
48,34,800
45,31,800
45,31,800
41,27,800
49,35,800
39,25,800
47,33,800
34,20,800
43,29,800
48,34,800
48,34,800
47,33,800
42,28,800
39,25,800
47,33,800
47,33,800
